PY,authors,content,first_author,id,majority_rating,rating_1,rating_2,rating_3,rating_39,rating_7,ratings,tags,title,wosarticle__de,wosarticle__wc
2018.0,,"To exploit the use of hydrogen as a source of sustainable energy, development of an efficient process for synthesizing an energy carrier such as ammonia under mild conditions will be necessary. Here, we show that Ru/La0.5Pr0.5O1.75 prereduced at an extraordinary high temperature wof 650 degrees C catalyzes high NH3-synthesis rates under mild conditions. At 400 degrees C under 1.0 MPa, the synthesis rate was comparable with that of most active oxide-supported Ru catalysts. Kinetic analysis revealed that hydrogen poisoning, which is a typical drawback for oxide-supported Ru catalysts such as Cs+/Ru/MgO, was effectively suppressed over Ru/La0.5Pr0.5O1.75. The high activity induced by high-temperature reduction was attributable to the good thermal stability of the support and a phase change of the La0.5Pr0.5O1.75 support during prereduction. Fourier transform-infrared spectroscopy measurements after N-2 adsorption on the catalyst revealed that electrons lwere efficiently donated from trigonal La0.5Pr0.5O1.5 to the antibonding pi orbital of the N  N bond of N-2 via Ru atoms. Cleavage of the N  N bond, the rate-determining step for ammonia synthesis, was thus accelerated. Our results expand the range of possibilities for developing more effective ammonia synthesis catalysts under mild conditions. Such catalysts will be needed to enable development of hydrogen-based sustainable energy resources.",,1572874,,,,,,,0,,Ru/La0.5Pr0.5O1.75 Catalyst for Low-Temperature Ammonia Synthesis,NH3 synthesis; Energy carrier; Rare earth oxide; Ru catalyst; Phase change,"['Chemistry, Multidisciplinary; Green & Sustainable Science & Technology;', 'Engineering, Chemical']"
2018.0,,"Fructose is one of the most important aldoses and has been gaining attention as the starting material for the synthesis of biobased platform and high-added value chemicals such as 5-hydroxymethylfurfural (5-HMF), levulinic acid and lactic acid. However, due to its low natural occurrence, fructose is produced from glucose, an abundant hexose, via isomerization. Currently, the conventional industrial process utilizes glucose isomerase as a catalyst and is therefore subjected to the limitations of enzymatic reactions. Consequently, an alternative efficient solid catalyst is required that will exhibit high activity, selectivity and stability/reusability. Toward this end, we have demonstrated the effectiveness of using natural MgO, derived from simple calcination of magnesite ores, as a low cost catalyst with increased basicity. A series of industrial and laboratory prepared natural MgO materials with different morphology, porosity and basicity were investigated and the optimum catalyst afforded 44.1 wt % glucose conversion and 75.8 wt % fructose selectivity (33.4 wt % fructose yield), at 90 degrees C for a 45 min reaction in aqueous solution. The activity of the MgO catalysts was directly correlated with their basicity, which in turn depended on their crystal size, surface area and composition. CaO impurities of the natural MgO materials generated strong basic sites that enhanced glucose conversion but at the expense of fructose selectivity. The stability and reuse of the optimum catalyst was confirmed for at least 4 cycles of reaction regeneration, whereas the mechanism of glucose isomerization was validated via a first-order kinetic modeling set.",,1572875,,,,,,,0,,Isomerization of Glucose into Fructose over Natural and Synthetic MgO Catalysts,Glucose; Fructose; Isomerization; MgO; Basicity; Kinetic modeling study,"['Chemistry, Multidisciplinary; GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;', 'Engineering, Chemical']"
2018.0,,"There is a growing need for new techniques to synthesize metallic copper nanoparticles due to their remarkable use in many advanced technologies. Herein, a novel method to synthesize stable and nonagglomerated zero-valent copper nanoparticles (ZVCNPs) via the in situ formation of reduced graphene oxide (rGO) during the electrospinning process in the presence of polyvinylpyrrolidone as a carbon source is presented. X-ray diffraction, Raman spectroscopy, electron paramagnetic resonance, transmission electron microscopy, and X-ray photoelectron spectroscopy techniques were used to investigate the morphology, structure, and composition of the fabricated materials. The synthesized ZVCNPs were coupled with TiO2 nanofibers and rGO to form an efficient photoactive material to photocatalytically produce hydrogen via water splitting, resulting in 344% increase in the hydrogen yield compared to that of TiO2 nanofibers. The density functional theory (DFT) calculations showed that the ZVCNPs enhance the charge transfer and lower the energy needed for photocatalytic water splitting. This study suggests a novel method for metallic copper stabilization and illustrates the effect of metallic copper as a catalyst for the in situ formation of rGO.",,1572876,,,,,,,0,,In Situ Formation of Graphene Stabilizes Zero-Valent Copper Nanoparticles and Significantly Enhances the Efficiency of Photocatalytic Water Splitting,Nanofibers; Electrospinning; Hydrogen production; DFT; rGO; Charge density,"['Chemistry, Multidisciplinary; Green & Sustainable Science & Technology;', 'Engineering, Chemical']"
2018.0,,"A novel flexible and free-standing electrospun Fe3+-PA/OTMS/PI nanofibrous membrane with superhydrophobicity and superoleophilicity was successfully fabricated by electrospinning assembly in combination with surface modification technology. The as-prepared membrane exhibited excellent resistance to high temperature, ultraviolet (UV) irradiation, corrosive liquids (such as acidic, basic, and salt solutions) and mechanical abrasion. In addition, the superhydrophobic and superoleophilic membrane could be efficiently used to separate various oil-water mixtures including dichloromethane (DCM), trichloromethane, dichloroethane, bromobenzene, and carbon tetrachloride. Furthermore, the as-prepared membrane still possesses a relatively stable and high flux level of 8424 +/- 105 L m(-2) h(-1) after repeated used for twenty separation cycles with the separation efficiency always above 99% and the oil content in the filtrate for all the tested oil-water mixture below 5 ppm. We believe that these as-prepared nanofibers with such excellent performance, are low cost, environmentally friendly, easy to scale up and sustainable, and thereby have the potential to be used in practical applications in the treatment of industrial oily wastewater and oil-water separation.",,1572877,,,,,,,0,,Nature- inspired creation of a robust free- standing electrospun nanofibrous membrane for efficient oil- water separation,,"['Chemistry, Multidisciplinary; Environmental Sciences; Nanoscience &', 'Nanotechnology']"
2018.0,,"When fire rates are sufficiently high, fire disturbances can have negative impacts on industrial timber supplies. One can mitigate such problems at the strategic level by accounting for potential fire losses in the timber supply planning process by reducing harvest levels to maintain a buffer stock of timber. With a forest planning model based on a timber volume maximizing policy, reducing the harvest level will lead to a reduction in the harvested timber volume and likely, of revenues. One possible solution is to change the policy to increase the value of the wood that is harvested so as to minimize such reductions with less risk. We have evaluated alternative policies for three commercially-managed forests that have different burn rates in northeastern Canada. When compared with a volume-maximization policy, a revenue-maximization policy that considers sustained production and the sale of sawmilling wood products (lumber, chips and sawdust) increased mean revenues by 130% (36-770%) with > 0.90 probability and substantially decreased the area and volume harvested by 27% (11-38%) and 28% (14-36%), respectively. By reducing the harvest volume, the total number of jobs associated with forest operations decreased by 20% (10-27%) but the number of jobs per unit area harvested and volume increased. The policy also increased the harvest age and thereby enhanced the retention of a greater proportion of old-growth stands. Our study indicated that a tighter link between strategic planning and wood product processing helped identify better compromises between harvesting activities and revenues, despite the occurrence of natural disturbances.",,1572878,,,,,,,0,,A value-added forest management policy reduces the impact of fire on timber production in Canadian boreal forests,Boreal forest; Fire; Revenue; Risk analysis; Strategic supply planning,['Economics; Environmental Studies; Forestry']
2018.0,,"Na-ion batteries are attractive as an alternative to Li-ion batteries because of their lower cost. Organic compounds have been considered as promising electrode materials due to their environmental friendliness and molecular diversity. Herein, aluminum-coordinated poly(tetrahydroxybenzoquinone) (P(THBQ-Al)), one of the coordination polymers, is introduced for the first time as a promising cathode for Na-ion batteries. P(THBQ-Al) is synthesized through a facile coordination reaction between benzoquinonedihydroxydiolate (C6O6H22-) and Al3+ as ligands and complex metal ions, respectively. Tetrahydroxybenzoquinone is environmentally sustainable, because it can be obtained from natural resources such as orange peels. Benzoquinonedihydroxydiolate also contributes to delivering high reversible capacity, because each benzoquinonedihydroxydiolate unit is capable of two electron reactions through the sodiation of its conjugated carbonyl groups. Electrochemically inactive Al3+ improves the structural stability of P(THBQ-Al) during cycling because of a lack of a change in its oxidation state. Moreover, P(THBQ-Al) is thermally stable and insoluble in nonaqueous electrolytes. These result in excellent electrochemical performance including a high reversible capacity of 113 mA h g(-1) and stable cycle performance with negligible capacity fading over 100 cycles. Moreover, the reaction mechanism of P(THBQ-Al) is clarified through ex situ XPS and IR analyses, in which the reversible sodiation of C=O into C-O-Na is observed.",,1572879,,,,,,,0,,Environmentally Sustainable Aluminum-Coordinated Poly(tetrahydroxybenzoquinone) as a Promising Cathode for Sodium Ion Batteries,coordination polymer; organic compound; benzoquinone; aluminum; sodium ion battery; cathode,"['Nanoscience & Nanotechnology; Materials Science, Multidisciplinary']"
2018.0,,"This study analyzes data from a survey of drivers (n = 1080) administered in late 2013 to assess factors that influence potential car buyers to consider two different types of plug-in electric vehicles (PEVs) in the United States: plug-in hybrid electric vehicles (PHEVs) and battery electric vehicles (BEVs). The results indicate distinct profiles of respondents preferring PHEVs, which have a gasoline backup engine, versus battery BEVs, which rely solely on a battery for power. Respondents interested in selecting a PHEV consider it more for its economic benefits, such as reduced gasoline and maintenance expenditures. Respondents preferring a BEV are drawn to its environmental and technological appeal. The absence of range anxiety for PHEV is a major factor influencing potential PEV buyers.",,1572880,,,,,,,0,,All plug-in electric vehicles are not the same: Predictors of preference for a plug-in hybrid versus a battery-electric vehicle,Electric vehicles; Sustainability; Range anxiety; Consumer preferences,"['Environmental Studies; Transportation; Transportation Science &', 'Technology']"
2018.0,,"This work presents and discusses experimental results on the characterisation and metal leaching potential of a biogenic, metal-rich sulphidic sludge, generated in a sulphate-reducing bioreactor, operated to treat acidic synthetic solutions bearing Fe, Zn, Ni and Cu. The sustainability of the metal removal bioprocess strongly depends on the fate of the sludge. To propose appropriate management practices, a detailed characterisation of the sludge is necessary. The granulometry, chemical composition and mineralogy of the sludge were initially determined. The mobility of the metals was assessed via a modified Tessier experimental procedure. The leachability of the sludge metal content was determined via a standard compliance method (EN 12457-2) and experiments designed to evaluate the effect of pH and time on metal leaching from the sludge. The sludge metal content sums up to 69.5% dw, namely iron (14.8%), zinc (18.7%), nickel (17.7%) and copper (18.2%) and, based on the criteria set by European Union, the sludge is characterised as hazardous and inappropriate for landfilling without any pretreatment. The sludge consists mainly of very fine poorly crystalline aggregates of Fe, Zn, Cu and Ni sulphides. The fine grain size, the poorly crystalline structure and the oxidation of sulphide upon exposure to water/air render the high metal content of the sludge recoverable.",,1572881,,,,,,,0,,"Fractionation and leachability of Fe, Zn, Cu and Ni in the sludge from a sulphate-reducing bioreactor treating metal-bearing wastewater",Sulphate-reducing bioreactor; Sulphidic sludge; Metal fractionation; Water; air exposure; Leaching; Sludge management,['Environmental Sciences']
2018.0,,"This article examines infrastructure and technology assembled to support a malaria vaccine clinical trial, conducted between 2009 and 2014. It draws on ethnographic fieldwork at a medical research centre in north-eastern Tanzania, with additional data from interviews with researchers, vaccine scientists and trial funders. The infrastructure and technology were conceived of as enabling the development of a vaccine and facilitating future medical research and health care provision in Tanzania. However, after the clinical trial ended, these material remains were decaying, repurposed or lacked long-term sustainability without continued research funding. For trial staff in Tanzania, this led to expressions of affect, including disappointment, ambivalence and frustration as expectations for the future were foreclosed. The author argues that the material remains of the clinical trial had varied impacts and, furthermore, ambivalence is an embedded part of clinical trials due to their time constraints and lack of local rooting. The end of this clinical trial exposes the limitations of global health research in bringing about lasting change to low-resource settings. This article highlights the need to consider the life of material objects after research concludes.",,1572882,,,,,,,0,,Building a legacy? Ambivalent impacts of a malaria vaccine clinical trial,clinical trials; global health; infrastructure; Tanzania; technology,['Anthropology; Archaeology; Cultural Studies']
2018.0,,"This paper firstly puts forward an analytical framework for the economic and environmental effects of regional land use transitions. Under the certain technical and institutional backgrounds, regional land use morphology changes adaptively with socio-economic development and turns out to be land use transitions at key time points. The transitions above may bring about positive economic effects as well as negative environmental effects. As the negative ones accumulate seriously and arouse public concern, the government will put forward relative management measures and policies to regulate land use activities and balance economic development with environmental protection. When a balance cannot be achieved within the current background, there will be a need to innovate the current technical or institutional conditions. Secondly, this paper takes Shandong province as a case study to conduct an empirical analysis with the latest econometric analysis methods and explores the effective mechanism among land use transitions, economic development, environmental emissions, and land use management according to current developing stages. The results show that urban construction land expansion is a pivotal factor for secondary industry development, as well as a potential factor for regional SO2 emissions, And the current urban land supply institution gets no significant causality with regional SO2 reduction, but significant with the secondary industry development. Finally, the authors argue that the phenomenon abovementioned is inevitable during the regional developing process. But taking future sustainable development strategies into account, the regional land use management need a transition from the demand-oriented ""passive"" management mode to the supply-oriented ""active"" management mode. So more research on this topic remains to be done in the future.",,1572883,,,,,,,0,,The economic and environmental effects of land use transitions under rapid urbanization and the implications for land use management,Land use transition; Economic effects; Environmental effects; Granger causality analysis; Urbanization; Land use management,"['Development Studies; Environmental Studies; Regional & Urban Planning;', 'Urban Studies']"
2018.0,,"The exploration of earth-abundant and high-efficiency electrocatalysts for water oxidation is of great significance for sustainable energy conversion. Co-Mo-based bimetallic oxides are considered as promising candidates for the oxygen evolution reaction (OER) due to their high intrinsic activity and low cost. In this work, we reported an interfacial engineering design of CoMoO4 nanoplate arrays wrapped with Ni(OH)(2) nanosheets supported on Ni foam for high-performance OER. Remarkably, benefiting from the hierarchical heterostructure arrays with strong interfacial interaction, enlarged surface areas, and more active sites, the optimized CoMoO4-Ni(OH)(2) electrocatalyst manifests the excellent OER catalytic performance with a low overpotential of 349 mV at the current density of 100 mA cm(-2), a long-term stability, and high (nearly 100%) Faradaic efficiency, which is superior to those of most previously reported Co-Mo-based bimetallic oxides electrocatalysts. Therefore, this interfacial engineering demonstrates an effective strategy for designing and fabricating high-performance electrocatalysts for OER reaction.",,1572884,,,,,,,0,,Engineering Ni(OH)(2) Nanosheet on CoMoO4 Nanoplate Array as Efficient Electrocatalyst for Oxygen Evolution Reaction,CoMoO4; Ni(OH)(2); Nanoarrays; Interfacial engineering; Oxygen evolution reaction,"['Chemistry, Multidisciplinary; Green & Sustainable Science & Technology;', 'Engineering, Chemical']"
